uuid,stop,platform,line,direction,scheduled_departure,real_departure,delay_min,connection_exists
5e27ffdc-9c67-5493-a56b-ec1363de4a98,Dortmund Hbf,8,ICE 102 InterCityExpress,Hannover Hauptbahnhof,22:28,22:43,15.0,True
6f2e821b-6658-57c8-9ad7-e2f620d49520,Düsseldorf Hbf,15,ICE 844 InterCityExpress,Köln Messe/Deutz Bf,22:09,,,True
9e828d45-8cab-53f5-b362-68a91f69cf89,Duisburg Hbf,12,ICE 512 InterCityExpress,Münster (Westf) Hbf,22:48,,,True
23534504-c0a0-557b-9b87-2813e5b0b665,Wuppertal Hbf,2,ICE 1222 InterCityExpress,Dortmund Hbf,22:49,23:09,20.0,True
35926ab5-a829-5e1c-94bf-314c8a3af61f,Essen Hauptbahnhof,1,ICE 542 InterCityExpress,Köln Hbf,22:37,,,True
5e2e24ad-2521-55e0-8937-4d878546bf3c,Düsseldorf Hbf,15,ICE 207 InterCityExpress,Köln Hbf,22:27,22:44,17.0,True
8f6af231-0616-5847-8de0-7c697b318403,Duisburg Hbf,4,ICE 542 InterCityExpress,Köln Hbf,22:50,,,True
380b92b9-2f4a-550f-8b7b-9a04b5ae250d,Duisburg Hbf,13,ICE 526 InterCityExpress,Dortmund Hbf,22:51,22:56,5.0,True
7fd9a89c-ec8d-58bf-8597-d1bc219ed271,Düsseldorf Hbf,17,ICE 512 InterCityExpress,Münster (Westf) Hbf,22:35,,,True
1fc29139-51dc-5ea3-bc5d-b110645aa7a2,Düsseldorf Hbf,18,ICE 526 InterCityExpress,Dortmund Hbf,22:38,22:43,5.0,True
0668ce70-7d7d-5639-a8f9-218efcb2b0a9,Bochum Hbf,5,ICE 526 InterCityExpress,Dortmund Hbf,23:14,23:17,3.0,True
cb616802-7256-5756-8be8-4c342c4de55b,Dortmund Hbf,11,ICE 842 InterCityExpress,Köln Hbf,23:13,,,True
54910bdd-f1c7-5d9a-9e25-883979298fe3,Essen Hauptbahnhof,6,ICE 526 InterCityExpress,Dortmund Hbf,23:04,23:08,4.0,True
5b3c9de8-0575-53da-8d93-c819a319a2c4,Düsseldorf Hbf,17,ICE 2912,Münster (Westf) Hbf,22:35,22:48,13.0,True
570a9703-25b1-504e-a545-db75220894fa,Duisburg Hbf,12,ICE 2912,Münster (Westf) Hbf,22:48,23:01,13.0,True
8ee12eb5-2e89-5058-a8b3-76de62084d24,Bochum Hbf,3,ICE 842 InterCityExpress,Köln Hbf,23:25,,,True
3d15f978-bc9a-56e2-b034-315fbdc40446,Essen Hauptbahnhof,4,ICE 512 InterCityExpress,Münster (Westf) Hbf,23:08,,,True
84547d34-d879-5811-bd0f-52bc1846da80,Duisburg Hbf,13,ICE 910 InterCityExpress,Dortmund Hbf,23:27,23:49,22.0,True
dfe6f45f-18c6-56e7-ac27-a619e84aa231,Dortmund Hbf,16,ICE 619 InterCityExpress,München Hbf,23:39,1:37,118.0,True
9fec94e8-2e30-5691-9703-3d9b47e415a6,Essen Hauptbahnhof,1,ICE 842 InterCityExpress,Köln Hbf,23:37,,,True
2fc3dff5-b0d7-59c4-bd9d-6121e6bd6fa8,Essen Hauptbahnhof,6,ICE 910 InterCityExpress,Dortmund Hbf,23:42,0:04,22.0,True
dd3318c3-cdeb-5279-b4ef-b1f67e9a7ea3,Düsseldorf Hbf,16,ICE 542 InterCityExpress,Köln Hbf,23:09,,,True
fd3b8808-a691-5762-8427-e1db4e5eb7b0,Düsseldorf Hbf,17,ICE 910 InterCityExpress,Dortmund Hbf,23:12,23:38,26.0,True
5e3fdc93-e3e9-5f8d-beaf-ff320cdf76cf,Duisburg Hbf,4,ICE 842 InterCityExpress,Köln Hbf,23:50,,,True
425de9d0-4c0f-5321-bef2-e400a92976b1,Duisburg Hbf,13,ICE 100 InterCityExpress,S Ostbahnhof (Berlin),23:52,23:54,2.0,True
3beac674-863e-5ecf-8d54-c519f179ce15,Bochum Hbf,3,ICE 619 InterCityExpress,München Hbf,23:51,1:49,118.0,True
6e15258c-2f9f-528c-8d10-0b163460700a,Bochum Hbf,5,ICE 910 InterCityExpress,Dortmund Hbf,23:51,0:15,24.0,True
518da2ed-8f58-5333-bd3a-4bf65386067e,Essen Hauptbahnhof,4,ICE 2912,Münster (Westf) Hbf,23:08,0:17,69.0,True
8f4096b4-aa34-583a-8f48-1679b9ec052c,Düsseldorf Hbf,17,ICE 100 InterCityExpress,S Ostbahnhof (Berlin),23:35,23:41,6.0,True
7fea428a-d7ae-5dfe-9eba-379a73f3bdd6,Duisburg Hbf,,ICE 524 InterCityExpress,Dortmund Hbf,0:12,0:23,11.0,True
db975230-a62b-5c12-beb8-956c3c732403,Duisburg Hbf,3,ICE 619 InterCityExpress,München Hbf,0:16,2:13,117.0,True
34377d62-0e22-5897-9021-c49b0d2d33c3,Bochum Hbf,5,ICE 100 InterCityExpress,S Ostbahnhof (Berlin),0:14,0:19,5.0,True
23d8f93e-9dfe-5b34-ab88-f5fc68780e65,Essen Hauptbahnhof,2,ICE 619 InterCityExpress,München Hbf,0:03,2:00,117.0,True
